"Region","City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","ProbSearchIfStopBl","ProbSearchIfStopWh","ProbSearchIfStopRatio","ProbSearchWh","ProbSearchBl","ProbSearchRatio","ProbFriskWh","ProbFriskBl","ProbFriskIfStopBl","ProbFriskIfStopWh","ProbFriskIfStopRatio","ProbFriskRatio","WhitePoliceOver"
"South","Austin",2014,6,88608.2222222222,785567.444444444,4978.85714285714,18838.1428571429,449.571428571429,479.714285714286,189.857142857143,279.857142857143,0.0610142857142857,0.0264571428571429,0.0345428571428571,2.35102857142857,52.54,0.296888888888889,1936.55555555556,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,0.0903064381942116,0.0258344036040705,3.56279978531258,0.00063182217086857,0.00516136350748974,8.36387555860687,0.000367700002272983,0.00217992793225317,0.0383298834757694,0.0152221130252945,2.62458880294932,6.14790399281,1.40365111561866
"West","Bakersfield",2014,3,40967.7777777778,322809.333333333,2012,9766.22222222222,NA,NA,NA,NA,0.0532666666666667,0.0317222222222222,0.0215444444444444,1.89557777777778,57.52,0.316444444444444,331.222222222222,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.10084033613445
"Northeast","Burlington",2014,NA,2096.33333333333,40489.5555555556,414.166666666667,4335.5,15,44.6666666666667,NA,NA,0.19455,0.107083333333333,0.08745,1.8343,51.07,0.325877777777778,500.777777777778,92,88.9,2,2.7,2,3.9,4,3.6,46,0.0385852453620285,0.010602400247999,3.51254754488556,0.00110346977050791,0.00692998828604292,6.4995538351312,NA,NA,NA,NA,NA,NA,1.03487064116985
"South","Charlotte",2014,NA,368417.222222222,431577.444444444,67415.1666666667,45597.8333333333,3812.33333333333,1006.16666666667,73.5,13.1666666666667,0.183216666666667,0.113333333333333,0.06985,1.63975,73,0.292411111111111,2149.11111111111,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,0.0564771551320729,0.0219466525725888,2.58139314099674,0.00250807677104463,0.0103635389261491,4.22026093718911,3.30104315922125e-05,0.000199783315898064,0.00109152842120743,0.000285868628186176,4.12106268124308,6.77569585168285,1.74660633484163
"Midwest","Cincinti",2014,5,140582.333333333,159471.555555556,16402.4444444444,11570.1111111111,NA,NA,NA,NA,0.122055555555556,0.0757666666666667,0.0462777777777778,1.72488888888889,71.84,0.321511111111111,2402.66666666667,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33805668016194
"Midwest","Columbus",2014,NA,265925.333333333,570672.111111111,11200.2,12350.8,1073.2,595,NA,NA,0.04212,0.02168,0.02044,1.97338,75.69,0.314722222222222,2381.55555555556,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,0.0955366414999664,0.0490003570238653,1.95816687872919,0.00104218845441867,0.00402400600418604,3.85779520663607,NA,NA,NA,NA,NA,NA,1.47692307692308
"South","Durham",2014,NA,118208.666666667,132638,16150.3333333333,7745.33333333333,1354.66666666667,256.833333333333,65.5,6.33333333333333,0.139516666666667,0.06185,0.07765,2.27368333333333,60.63,0.281811111111111,1534.66666666667,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,0.0843556495011633,0.0329359920364496,2.66985526142033,0.00206074732943872,0.0116897518705984,6.09984274436772,5.10219240745169e-05,0.000565935254552132,0.00404443812420426,0.000806099567073741,8.94557558046408,20.7922881827137,1.69028871391076
"South","Fayetteville",2014,NA,98871.2222222222,106744.222222222,24198.5,14943,1207,335.166666666667,82.3333333333333,21.3333333333333,0.2474,0.140933333333333,0.106483333333333,1.77616666666667,60.63,0.218411111111111,381.777777777778,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,0.0512639163567158,0.02320322522508,2.37113812327945,0.00317222942371518,0.0123863186356648,4.17628242421587,0.000202012181585233,0.000847401704207503,0.00354804484438556,0.00145723953796618,2.41136263696044,4.30701875932688,1.76225490196078
"South","Greensboro",2014,NA,129664.444444444,152021.111111111,23892.5,17007,1239,433,30,6,0.188533333333333,0.113783333333333,0.0747333333333333,1.7006,67.91,0.249577777777778,765.222222222222,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,0.0509536734347654,0.0246810371548881,2.06667238142958,0.00290270952480207,0.00980519700149081,3.50676341967456,4.01744319508803e-05,0.000238433285329405,0.00121707044598289,0.000358555350153459,3.59996635476914,5.90588029072697,1.68070953436807
"Northeast","Hartford",2014,6,67753.8888888889,55834.5555555556,1777.75,1514,509.25,426.25,NA,NA,0.03565,0.036775,-0.001125,0.975975,63.93,0.341355555555556,1191.11111111111,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,0.189700990231932,0.181118442859604,1.75581900356676,0.00762736376103893,0.00753028678013537,1.75264160762299,NA,NA,NA,NA,NA,NA,4.06918238993711
