"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","BlackPolShare","PoliceRatioWhBl"
"Austin",2018,NA,92981,864981,NA,NA,NA,NA,NA,NA,52.54,0.2540746,3202,"South",69.2,8.7,7.95402298850575
"Bakersfield",2018,3,38340,341732,489,1171,0.0510172143974961,0.0137066473142697,0.0373105670832264,3.72207829002672,57.52,0.2095039,459,"West",75,3.4,22.0588235294118
"Burlington",2018,NA,2341,40343,NA,NA,NA,NA,NA,NA,51.07,0.306952,1072,"Northeast",92,2,46
"Charlotte",2018,NA,368522,500043,NA,NA,NA,NA,NA,NA,73,0.2759605,3654,"South",77.2,16.5,4.67878787878788
"Cincinti",2018,5,139765,163398,4986,2778,0.0856180016456194,0.0408034370065729,0.0448145646390465,2.09830367063999,71.84,0.2968426,4640,"Midwest",66.1,30.6,2.16013071895425
"Columbus",2018,NA,285911,600251,NA,NA,NA,NA,NA,NA,75.69,0.2378166,211,"Midwest",86.4,11.3,7.64601769911504
"Durham",2018,NA,123802,149561,NA,NA,NA,NA,NA,NA,60.63,0.244303,2073,"South",64.4,29.6,2.17567567567568
"Fayetteville",2018,NA,101721,108728,NA,NA,NA,NA,NA,NA,60.63,0.204895,340,"South",71.9,18.6,3.86559139784946
"Greensboro",2018,NA,136370,157335,NA,NA,NA,NA,NA,NA,67.91,0.2338064,1223,"South",75.8,19.6,3.86734693877551
"Hartford",2018,NA,65038,57364,NA,NA,NA,NA,NA,NA,63.93,0.3056913,2083,"Northeast",64.7,12.4,5.21774193548387
"Houston",2018,4,649580,1646243,25126,45264,0.116041134271375,0.0824859999404705,0.0335551343309048,1.40679793365082,51.26,0.2349381,5795,"South",45.1,22.8,1.9780701754386
"Little Rock",2018,NA,89216,107675,NA,NA,NA,NA,NA,NA,61.89,0.2866142,739,"South",68.5,27.9,2.45519713261649
"Los Angeles",2018,6,581996,3376808,64080,42348,0.220207699021986,0.0250816747650444,0.195126024256942,8.77962500848961,64.39,0.2480288,15636,"West",35.4,11.6,3.05172413793103
"Louisville",2018,1,150169,465213,647,1161,0.051701749362385,0.0299475724023189,0.0217541769600661,1.7264086940944,71.64,0.2974481,2251,"South",84.8,11.7,7.24786324786325
"Madison",2018,NA,20630,236109,NA,NA,NA,NA,NA,NA,55.66,0.2927677,2429,"Midwest",80.1,10.3,7.77669902912621
"shville",2018,NA,202904,460183,75312,108986,0.371170602846666,0.236831869060787,0.13433873378588,1.56723250261306,63.43,0.2521694,2020,"South",84.9,12.3,6.90243902439024
"New Orleans",2018,7,245673,139325,16087,4389,0.112253744960636,0.0540032298582451,0.0582505151023907,2.0786487262946,61.94,0.1932361,1399,"South",38.5,58.2,0.661512027491409
"Oakland",2018,NA,172346,260685,NA,NA,NA,NA,NA,NA,47.64,0.2446323,10570,"West",42.9,22.2,1.93243243243243
"Oklahoma City",2018,NA,116175,530542,NA,NA,NA,NA,NA,NA,58.92,0.2603092,1341,"South",85.5,6.7,12.7611940298507
"Philadelphia",2018,4,724749,709033,59879,14597,0.2478609835957,0.0617615823240949,0.186099401271605,4.0131903080955,77.93,0.2845136,11076,"Northeast",56.8,33.4,1.70059880239521
