Region,City,year,partialYearMonths,BlackPop,WhitePop,StanfordStopsBl,StanfordStopsWh,StanSearchBl,StanSearchWh,StanFriskBl,StanFriskWh,BlackProp,WhiteProp,DiffBlackMinusWhite,RatioBlackWhite,animus_score,implicit_score_mean,implicit_nobs,WhitePoliceShare,WhitePopShare,HispPoliceShare,HispPopShare,BlackPoliceShare,BlackPopShare,AsianPoliceShare,AsianPopShare,PoliceRatioWhBl,ProbSearchIfStopBl,ProbSearchIfStopWh,ProbSearchIfStopRatio,ProbSearchWh,ProbSearchBl,ProbSearchRatio,ProbFriskWh,ProbFriskBl,ProbFriskIfStopBl,ProbFriskIfStopWh,ProbFriskIfStopRatio,ProbFriskRatio,WhitePoliceOver,None
South,Austin,2014,6,88608.22222,785567.4444,4978.857143,18838.14286,449.5714286,479.7142857,189.8571429,279.8571429,0.061014286,0.026457143,0.034542857,2.351028571,52.54,0.296888889,1936.555556,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,0.090306438,0.025834404,3.562799785,0.000631822,0.005161364,8.363875559,0.0003677,0.002179928,0.038329883,0.015222113,2.624588803,6.147903993,1.403651116,1
West,Bakersfield,2014,3,40967.77778,322809.3333,2012,9766.222222,NA,NA,NA,NA,0.053266667,0.031722222,0.021544444,1.895577778,57.52,0.316444444,331.2222222,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.100840336,1
Northeast,Burlington,2014,NA,2096.333333,40489.55556,414.1666667,4335.5,15,44.66666667,NA,NA,0.19455,0.107083333,0.08745,1.8343,51.07,0.325877778,500.7777778,92,88.9,2,2.7,2,3.9,4,3.6,46,0.038585245,0.0106024,3.512547545,0.00110347,0.006929988,6.499553835,NA,NA,NA,NA,NA,NA,1.034870641,1
South,Charlotte,2014,NA,368417.2222,431577.4444,67415.16667,45597.83333,3812.333333,1006.166667,73.5,13.16666667,0.183216667,0.113333333,0.06985,1.63975,73,0.292411111,2149.111111,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,0.056477155,0.021946653,2.581393141,0.002508077,0.010363539,4.220260937,3.30E-05,0.000199783,0.001091528,0.000285869,4.121062681,6.775695852,1.746606335,1
Midwest,Cincinti,2014,5,140582.3333,159471.5556,16402.44444,11570.11111,NA,NA,NA,NA,0.122055556,0.075766667,0.046277778,1.724888889,71.84,0.321511111,2402.666667,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33805668,1
Midwest,Columbus,2014,NA,265925.3333,570672.1111,11200.2,12350.8,1073.2,595,NA,NA,0.04212,0.02168,0.02044,1.97338,75.69,0.314722222,2381.555556,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,0.095536641,0.049000357,1.958166879,0.001042188,0.004024006,3.857795207,NA,NA,NA,NA,NA,NA,1.476923077,1
South,Durham,2014,NA,118208.6667,132638,16150.33333,7745.333333,1354.666667,256.8333333,65.5,6.333333333,0.139516667,0.06185,0.07765,2.273683333,60.63,0.281811111,1534.666667,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,0.08435565,0.032935992,2.669855261,0.002060747,0.011689752,6.099842744,5.10E-05,0.000565935,0.004044438,0.0008061,8.94557558,20.79228818,1.690288714,1
South,Fayetteville,2014,NA,98871.22222,106744.2222,24198.5,14943,1207,335.1666667,82.33333333,21.33333333,0.2474,0.140933333,0.106483333,1.776166667,60.63,0.218411111,381.7777778,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,0.051263916,0.023203225,2.371138123,0.003172229,0.012386319,4.176282424,0.000202012,0.000847402,0.003548045,0.00145724,2.411362637,4.307018759,1.762254902,1
South,Greensboro,2014,NA,129664.4444,152021.1111,23892.5,17007,1239,433,30,6,0.188533333,0.113783333,0.074733333,1.7006,67.91,0.249577778,765.2222222,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,0.050953673,0.024681037,2.066672381,0.00290271,0.009805197,3.50676342,4.02E-05,0.000238433,0.00121707,0.000358555,3.599966355,5.905880291,1.680709534,1
Northeast,Hartford,2014,6,67753.88889,55834.55556,1777.75,1514,509.25,426.25,NA,NA,0.03565,0.036775,-0.001125,0.975975,63.93,0.341355556,1191.111111,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,0.18970099,0.181118443,1.755819004,0.007627364,0.007530287,1.752641608,NA,NA,NA,NA,NA,NA,4.06918239,1
