"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","None"
"Austin",2018,NA,92981,864981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.54,0.2541,3202,"South",69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,1
"Bakersfield",2018,3,38340,341732,489,1171,NA,NA,NA,NA,0.051,0.0137,0.0373,3.7221,57.52,0.2095,459,"West",75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,1
"Burlington",2018,NA,2341,40343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.07,0.307,1072,"Northeast",92,88.9,2,2.7,2,3.9,4,3.6,46,1
"Charlotte",2018,NA,368522,500043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,0.276,3654,"South",77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,1
"Cincinti",2018,5,139765,163398,4986,2778,NA,NA,NA,NA,0.0856,0.0408,0.0448,2.0983,71.84,0.2968,4640,"Midwest",66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,1
"Columbus",2018,NA,285911,600251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.69,0.2378,211,"Midwest",86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,1
"Durham",2018,NA,123802,149561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.63,0.2443,2073,"South",64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,1
"Fayetteville",2018,NA,101721,108728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.63,0.2049,340,"South",71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,1
"Greensboro",2018,NA,136370,157335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.91,0.2338,1223,"South",75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,1
"Hartford",2018,NA,65038,57364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.93,0.3057,2083,"Northeast",64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,1
